DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,RevolvingUtilizationOfUnsecuredLines
0.000026,38417,2,0,1
0.0000369,27083,1,0,0.0147941
0.0000393,203500,5,0,0.00739006
0.0000662,15100,1,0,0.00179991
0.000075,40000,4,0,0.0882496
0.00008,12500,9,0,0
0.0000857,58333,13,0,0.00212579
0.0000909,11000,6,0,0.000736832
0.0000915,10933,4,0,0.000876385
0.0000945,31750,4,0,0
0.0000946,10575,6,0,0
0.0000948,10550,1,0,1
0.0000952,10500,2,0,0.00323151
0.0000952,10500,7,0,0.00128927
0.0000952,10500,12,0,0.00055384
0.0000952,10500,6,0,0.0014176
0.000096,166700,6,0,0.0201419
0.0000991,10085,10,0,0.000221236
0.000101698,9832,2,0,0.0020499
0.000105252,9500,7,0,0.00133906
0.000106349,9402,1,0,1
0.000109487,18266,5,0,0.00165905
0.000111857,8939,3,0,0.000899978
0.000112423,8894,4,0,0.00144258
0.000114155,8759,6,0,0.000451358
0.000119976,8334,2,0,0
0.000120279,8313,3,0,0.00179994
0.000121936,8200,4,0,0.000864369
0.00012285,8139,8,0,0
0.000123442,8100,7,0,0.000816647
0.000124673,8020,5,0,0.00124321
0.00012604,7933,5,0,0.00219289
0.00012837,7789,2,0,0.00298326
0.000129024,15500,2,0,0.0142349
0.00012923,54166,8,0,0
0.000133316,7500,6,0,0.00172857
0.000133324,15000,4,0,0
0.000133583,7485,4,0,0.00161486
0.000134048,7459,5,0,0
0.000135117,7400,7,0,0.00206544
0.000136221,7340,6,0,0.00239984
0.000136351,7333,5,0,0.00117344
0.000137912,7250,8,0,0.000905786
0.000140528,7115,4,0,0.00143831
0.000141163,7083,7,0,0
0.000141163,7083,2,0,1
0.000142837,7000,14,0,0.000677018
0.000147037,6800,7,0,0.00156324
0.000147298,835040,8,0,0.041599
0.00014758,6775,2,0,0.00444407
0.0001485,6733,2,0,0.0565724
0.000148699,6724,5,0,0.000610678
0.000149993,6666,3,0,0.00249984
0.000149993,20000,1,0,0.00713286
0.000150353,6650,3,0,0
0.000150932,13250,5,0,0.00131572
0.000152858,13083,4,0,0.00296761
0.000153822,6500,1,0,0.00116663
0.000155812,6417,10,0,0.0000945
0.000155836,19250,9,0,0.00142855
0.000158781,6297,8,0,0
0.000159987,12500,13,0,0
0.000161264,6200,4,0,0.00167267
0.000162588,12300,3,0,0.00268564
0.00016284,6140,5,0,0.00603079
0.000166639,6000,4,0,0.00144675
0.000166639,6000,2,0,0.0509491
0.000166639,6000,5,0,0.00102334
0.000166639,6000,5,0,0.00179326
0.000168039,5950,5,0,0.00433297
0.000169802,29445,7,0,0.00326918
0.000170039,5880,9,0,0.000860376
0.000170765,5855,7,0,0
0.000171409,5833,3,0,0.00205702
0.000172295,5803,4,0,0.000599991
0.000174171,11482,2,0,0.00351006
0.000175177,11416,6,0,0.00169996
0.00017646,5666,2,0,0.00916514
0.00017646,5666,3,0,0.00925364
0.000176929,5651,2,0,0
0.00017854,5600,2,0,0.0186604
0.000179996,16666,4,0,0
0.000180473,5540,2,0,0.00612423
0.000181785,5500,1,0,0.00166659
0.000181785,5500,8,0,0
0.000181785,5500,2,0,0.000857131
0.000181818,10999,5,0,0.00308814
0.000184604,5416,21,0,0.000461493
0.000184604,5416,3,0,0.000679986
0.000184689,10828,5,0,0
0.000185151,5400,9,0,0.000554714
0.000185168,10800,6,0,0.00539235
0.000185598,5387,4,0,0
0.000186916,5349,7,0,0.00123526
0.000187126,5343,3,0,1
0.000190458,10500,10,0,0.00159996
0.000190458,10500,14,0,0.00392815
0.000190458,10500,4,0,0.00245478
0.000190458,10500,10,0,0.00167343
0.000190458,10500,8,0,0
